Num,¿Sobre qué temas crees que hace falta que los jóvenes nos sentemos a hablar ?,Categorías
1,El mundo actual ,Actualidad
2,Sobre la situación del país,Actualidad
3,Sobre situaciones reales que se viven hoy en día ,Actualidad
4,Agenda 2030,Agenda 2030
5,Aceptación propia ,Amor propio
6,Autoestima  ,Amor propio
7,,Amor propio
8,Autoestima,Amor propio
9,Amor propio en jovenes,Amor propio
10,Autoestima,Amor propio
11,Amor propio,Amor propio
12,Seguridad en sí mismo ,Autoestima
13,Profundidad igualdad de derechos ,Derechos
14,fomentar los derechos de grupos sociales minoritarios.,Derechos
15,Derechos humanos,Derechos
16,los derechos humanos ,Derechos
17,Información sobre derechos ,Derechos 
18,Respeto a los derechos individuales,Derechos 
19,derechos humanos,Derechos  
20,Nuestros derechos ,Derechos  
21,"Muchas cosas, sobre todo en temas de derechos humanos e inclusión de grupos marginados",Derechos humanos 
22,Desarrollo ,Desarrollo
23,Desarrollo personal y profesional,Desarrollo personal
24,Crecimiento personal,Desarrollo personal
25,,Desarrollo personal
26,La importancia de aprender nuevas habilidades,Desarrollo personal
27,Proyectos de vida,Desarrollo personal
28,Organización (real) del tiempo escolar y vida social. (gestión del tiempo),Desarrollo personal
29,,Desarrollo personal
30,Oportunidades de crecimiento ,Desarrollo personal
31,Desarollo personal ,Desarrollo personal
32, propósito orientación vocacional,Desarrollo personal
33,,Desarrollo Personal
34,PLANES Y PROYECTOS DE VIDA,Desarrollo Personal
35,Sobre temas de superación personal,Desarrollo Personal
36,Desordenes alimenticios cómo salir de ello,Desórdenes alimenticios
37,Comunicación ,Diálogo
38,"Como el pensamiento evoluciona y todos podemos tener diferentes ideas/opiniones y valen lo mismo en cuestiones de libertad, estudios, religión, sexualidad etc.",Diálogo
39,Libertad de expresión,Diálogo
40,Cómo exponer una ideología,Diálogo
41,Comuncicacion,Diálogo
42, violencia en el diálogo,Diálogo
43,Temas que se debaten actualmente como el racismo,Diálogo
44,Libertad de expresion,Diálogo
45,"el respeto y la tolerancia a diferentes maneras de pensar, la apertura del pensamiento liberal con el tradicional, la libertad y los límites",Diálogo
46,Libertad de expresión y toma de decisiones,Diálogo
47,Comunicación y diálogo egectivo,Diálogo
48,Tolerancia y libertad de expresión desde el respeto,Diálogo
49,Libertad de expresión,Diálogo
50,Sobre las adiciones y como actuar en citaciones de peligro con estas ,Drogas 
51,Economía ,Economía
52,Economía,Economía
53,,Economía
54,Economía,Economía
55,Economía,Economía
56,economía ,Economía
57,Corrupción,Economía
58,,Economía
59,Economía,Economía
60,Economía ,Economía
61,situación económica del pais,Economía
62,Inestabilidad economica,Economía
63,Economía,Economía
64,Economía ,Economía
65,Economia,Economía
66,Economia,Economía
67,Cómo mejorar la economía y calidad de vida,Economía
68,Economía ,Economía
69,Entender la economía del lugar donde vivimos para definir nuestra idea de negocio,Economía
70,"La transformación de la economía del país, el mejoramiento de nuestras comunidades por medio de la industria",Economía
71,Economia,Economía
72,,Economía
73,Economía organizada,Economía
74,Económicos de manera seria,Economía
75,,Economía
76,Economía ,Economía
77,La brecha económica ,Economía
78,la corrupción,Economía
79,,Economía
80,Situación económica actual ,Economía
81,Economía,Economía
82,Economía ,Economía
83,Temas socioeconómicos ,Economía
84,Economía internacional ,Economía
85,Economía ,Economía
86,Economía,Economía
87,sobre economía ,Economía
88,,Economía
89,Economía ,Economía
90, desarrollo económico ,Economía
91,,Economía
92,Economía ,Economía
93,Economía ,Economía
94,La nueva economía ,Economía
95,Economía global ,Economía internacional
96,Capacitación extraescolar,Educación
97,Educación,Educación
98,Educación ,Educación
