Categorías,,,,,,,
Inteligencia emocional,,Economía,Sociedad,Emprendimiento,Futuro,Sexual,religion
Desarrollo Personal,,Política,Seguridad,Vicios,Salud  ,Diversidad,
Finanzas,,Salud mental,Derechos,Dialogo,Educación,Feminismo,
responsabilidad social,,Medio ambiente ,Equidad de gen,Inclusión,Actualidad,Machismo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,¿Sobre qué temas te da miedo o te sientes insegur@ de opinar? ,Categorías,,,
,,, Temas controversiales ,,,,
,,,_,,,,
,,,“Salud mental” de manera personal ,Salud mental,,,
,,, los temas de sexualidad ,Sexual,,,
,,,"A veces, sobre mi orientación sexual",Sexual,,,
,,,Aborto,Sexual,,,
,,,Aborto,Sexual,,,
,,,Aborto ,Sexual,,,
,,,Aborto ,Sexual,,,
,,,Aborto ,Sexual,,,
,,,Aborto ,Sexual,,,
,,,Aborto libre,Sexual,,,
,,,Feminismo,Feminismo,,,
,,,Aborto,Sexual,,,
,,,Feminismo,Feminismo,,,
,,,Aborto,Sexual,,,
,,,,Medio ambiente,,,
,,,Aborto,Sexual,,,
,,,Abuso de autoridad por parte de instituciones educativas privadas y públicas. ,Educación,,,
,,,Acoso sexual,Sexual ,,,
,,,ACOSO SEXUAL,Sexual ,,,
,,,Adopción parejas homo paténtales ,Sexual ,,,
,,,Alimentos transgénicos ,Medio ambiente,,,
,,,el tema del narco,Seguridad ,,,
,,,,Política,,,
,,,La gente no es objetiva y se pone a pelear ,Religión ,,,
,,,La gente no es objetiva y se pone a pelear ,Política,,,
,,,no indicó,Futbol,,,
,,,Astronomía ,Ciencia ,,,
,,,Autoestima y temas referentes al amor propio,Amor propio,,,
,,,Buena educación ,Educación ,,,
,,,Calidad del servicio,Empresarial,,,
,,,"Carteles, asesinatos de periodistas ",Seguridad,,,
,,,,Salud mental,,,
,,,Comunidad lgbt,Inclusión ,,,
,,,"Feminismo 
",Feminismo,,,
,,,Comunidad LGBTTI,inclusión,,,
,,,Crianza ,Educación,,,
,,,"Cualquier tema de polémica con gente desconocida, no sabemos cómo reaccionen",Polémicos ,,,
,,,Feminismo en relación a la autodeterminación y la mala sociedad ,Feminismo,,,
,,,Cuidado ambiental ,Medio ambiente,,,
,,,De temas de sexualidad o machismo,Sexual,,,
,,,Los narcos  ,Seguridad,,,
,,,Del feminisno ,Feminismo,,,
,,,Delincuencia (Narcotráfico),Seguridad,,,
,,,"Delincuencia, y seguridad de la mujer ",Seguridad,,,
,,,"Derechos lgbt+, sexualidad, aborto",Sexual,,,
,,,Desarrollo personal ,Desarrollo personal,,,
,,,Diferencia de sueldos,Laboral,,,
,,,"Dinero, criptomonedas ",Finanzas,,,
,,,Drogas ,Vicios,,,
,,,Ecológia ,Medio Ambiente,,,
,,,Economía ,Economía,,,
,,,Económica ,Economía,,,
,,,Emocional,Inteligencia emocional,,,
,,,Económicos,Economía,,,
,,,responsabilidad ambiental,Medio Ambiente,,,
,,,Educación ,Educación,,,
,,,El abuso de poder por parte de docentes y el poco o nulo interés en la salud mental en los alumnos. ,Educación,,,
,,,El deficiente sistema educativo y la irrelevancia de tener títulos universitarios para trascender en la industria moderna.,Educación,,,
,,,"El feminismo, por su complejidad e identificarme como hombre",Feminismo,,,
,,,El futuro,Futuro,,,
,,,El futuro de México ,Futuro,,,
,,,Empoderamiento de la mujer en el deporte,Empoderamiento de la mujer,,,
,,,Emprendimiento ya que no lo he hecho ,Emprendimiento,,,
,,,Emprendimoento,Emprendimiento,,,
,,,En como iniciar una vida económica ya sea en emprendimiento o siendo un empleado.,Laboral,,,
,,,"En temas de política, de manejo de administración pública ",Política,,,
,,,Equidad de género,Equidad de género,,,
,,,Equidad de género,Equidad de género,,,
,,,Equidad de género ,Equidad de género,,,
,,,Estabilidad emocional ,Inteligencia emocional,,,
,,,Exponer ante un publico ,Dialogo,,,
,,,Feminecidio ,Seguridad,,,
,,,Feminicidios,Seguridad,,,
,,,Feminicidios sin solución,Seguridad,,,
,,,Feminicidios,Seguridad,,,
,,,Feminismo,Feminismo,,,
,,,Feminismo,Feminismo,,,
,,,Feminismo,Feminismo,,,
,,,Feminismo ,Feminismo,,,
,,,Feminismo ,Feminismo,,,
,,,Feminismo ,Feminismo,,,
,,,Feminismo ,Feminismo,,,
,,,Feminismo y todos los que conlleva ,Feminismo,,,
,,,narcotrafico,Seguridad,,,
,,,Feminismo,Feminismo,,,
,,,,Política,,,
,,,Feminismo,Feminismo,,,
,,,Sexualidad,Sexual,,,
,,,Drogas,Vicios,,,
,,,feminismo,Feminismo,,,
,,,Finanzas,Finanzas,,,
,,,Finanzas Personales,Finanzas,,,
,,,,Política,,,
,,,Finanzas,Finanzas,,,
,,,Género,Equidad de género,,,
,,,inclusión social ,Inclusión,,,
,,,Género ,Equidad de género,,,
,,,,Machismo,,,
,,,Géneros,Diversidad,,,
,,,Gobierno ,Política,,,
,,,Ideología de género ,Diversidad,,,
,,,Igualdad de género ,Equidad de genero,,,
,,,,Política,,,
,,,falta de oportunidades,Laboral,,,
,,,,Feminismo,,,
,,,,Religión,,,
,,,Igualdad de género,Equidad de género,,,
,,,Igualdad entre hombres y mujeres,Equidad de genero ,,,
,,,Inflación ,Economía,,,
,,,inseguridad,Seguridad,,,
,,,Inseguridad ,Seguridad,,,
,,,Inseguridad ,Seguridad,,,
,,,Inseguridad del estado,Seguridad,,,
,,,Inseguridad en el país ,Seguridad,,,
,,,Inseguridad en el país ,Seguridad,,,
,,,política mexicana ,Política,,,
,,,Inseguridad ,Seguridad,,,
,,,Sexualidad con menores de edad ,Sexual,,,
,,,Inseguridad,Seguridad,,,
,,,La comunidad LGBTTTIQ+,Diversidad,,,
,,,La delincuencia ,Seguridad,,,
,,,"La igual de derechos, hacia las personas con diferentes gustos sexuales ",Derechos,,,
,,,La igualdad de género ,Equidad de género,,,
,,,La muerte o algún tema del que no conozca del todo ,Sociedad,,,
,,,La nueva diversidad e inclusión ,inclusión,,,
,,,no indico,politica,,,
,,,brechas economicas,Economía,,,
,,,La seguridad ,Seguridad,,,
,,,La sexualidad y aborto,Sexual ,,,
,,,situación del país ,Economía,,,
,,,situación del país ,politica,,,
,,,La violencia,Seguridad,,,
,,,"Legalización del aborto, géneros e identidades sexuales",Sexual,,,
,,,Lgbt,Diversidad,,,
,,,LGBT ,Diversidad,,,
,,,"Lo que está de moda, lo de personas gay, bisexual, etc. Son temas que no se y prefiero no opinar, pero respeto. ",Diversidad,,,
,,,Los narcos ,Seguridad,,,
,,,Machismo,Machismo,,,
,,,Machismo,Machismo,,,
,,,Machismo ,Machismo,,,
,,,machismo,Machismo,,,
,,, diferencias socioeconómicas en genero,equidad de gen,,,
,,,Machismo,Machismo,,,
,,,feminismo,feminismo,,,
,,,"Me siento insegura, sobre la responsabilidad social ",responsabilidad social ,,,
,,,Mejores oportunidades para jóvenes ,Laboral,,,
,,,Narcotrafico ,Seguridad,,,
,,,Narcotráfico y delincuencia organizada,Seguridad,,,
,,,"Narcotrafico, etc ",Seguridad,,,
,,,politica en méxico,politica,,,
,,,politica en méxico,politica,,,
,,,Narcotrafico,Seguridad,,,
,,,Narcotrafico y secuestro,seguridad,,,
,,,religión,religión,,,
